destination,season,temperature,rainfall,humidity
Ahmedabad,Monsoon,31.7,8.2,73.5
Chennai,Monsoon,29.3,22.4,89.0
Chennai,Monsoon,32.0,7.2,98.0
Kolkata,Monsoon,28.9,0.0,90.2
Kolkata,Monsoon,28.4,10.4,83.7
Pune,Monsoon,28.0,0.0,76.5
Hyderabad,Monsoon,28.9,0.0,71.8
Delhi,Monsoon,30.3,0.0,76.1
Kolkata,Monsoon,30.0,25.8,92.0
Kolkata,Monsoon,30.9,4.1,
Pune,Monsoon,28.4,1.7,71.3
Hyderabad,Monsoon,,5.7,86.7
Delhi,Monsoon,26.8,7.4,76.8
Chennai,Monsoon,29.7,1.2,98.0
Pune,Monsoon,27.0,6.1,77.4
Chennai,Monsoon,32.4,23.1,90.5
Delhi,Monsoon,,0.0,67.5
Hyderabad,Monsoon,25.8,0.0,68.4
Delhi,Monsoon,25.3,0.0,58.8
Kolkata,Monsoon,,56.5,97.4
Pune,Monsoon,24.0,0.7,89.0
Kolkata,Monsoon,27.2,49.7,93.1
Chennai,Monsoon,26.9,14.1,98.0
Pune,Monsoon,23.3,0.0,80.4
Bangalore,Monsoon,21.6,0.0,75.4
Kolkata,Monsoon,27.4,1.2,98.0
Mumbai,Monsoon,25.2,5.5,98.0
Chennai,Monsoon,28.3,1.7,98.0
Hyderabad,Monsoon,24.2,17.3,89.2
Ahmedabad,Monsoon,25.7,0.0,79.2
Ahmedabad,Monsoon,24.8,0.0,68.6
Bangalore,Monsoon,20.8,0.0,85.6
Kolkata,Monsoon,25.7,35.2,
Hyderabad,Monsoon,24.4,4.8,85.8
Chennai,Monsoon,27.3,0.0,93.0
Chennai,Monsoon,,0.0,96.9
Bangalore,Monsoon,22.8,12.4,79.9
Chennai,Monsoon,28.8,0.0,98.0
Delhi,Monsoon,19.6,7.1,82.6
Chennai,Monsoon,28.6,0.0,94.4
Pune,Monsoon,22.5,8.4,82.0
Chennai,Monsoon,28.9,0.7,91.8
Mumbai,Monsoon,24.6,0.0,96.6
Delhi,Monsoon,20.2,0.0,82.0
Chennai,Monsoon,27.5,15.0,98.0
Ahmedabad,Monsoon,23.7,7.6,
Chennai,Monsoon,26.7,0.0,94.4
Delhi,Monsoon,16.8,2.1,80.6
Ahmedabad,Monsoon,25.6,0.0,61.7
Hyderabad,Monsoon,23.0,0.0,65.0
Ahmedabad,Monsoon,20.9,0.0,74.6
Pune,Monsoon,21.0,0.0,82.1
Ahmedabad,Monsoon,23.1,0.0,71.7
Ahmedabad,Monsoon,23.1,14.9,77.6
Chennai,Monsoon,25.4,0.0,98.0
Kolkata,Monsoon,23.5,0.0,92.6
Ahmedabad,Monsoon,,0.0,76.2
Kolkata,Monsoon,23.8,22.0,80.0
Kolkata,Monsoon,22.9,7.5,97.9
Hyderabad,Monsoon,19.9,47.8,74.4
Delhi,Monsoon,16.4,0.3,73.4
Chennai,Monsoon,26.9,13.9,95.0
Bangalore,Monsoon,23.8,0.0,86.8
Delhi,Monsoon,15.9,3.8,79.0
Hyderabad,Monsoon,22.7,2.4,89.8
Pune,Monsoon,21.3,22.0,90.6
Pune,Monsoon,19.1,21.5,79.9
Mumbai,Monsoon,23.8,0.0,86.5
Pune,Monsoon,22.4,24.1,78.8
Hyderabad,Monsoon,22.5,4.8,75.5
Pune,Monsoon,,0.0,84.3
Pune,Monsoon,22.1,0.9,79.8
Chennai,Monsoon,22.3,1.2,98.0
Kolkata,Monsoon,18.6,7.0,95.0
Mumbai,Monsoon,25.1,3.1,93.1
Pune,Monsoon,19.5,0.0,84.8
Ahmedabad,Monsoon,18.8,0.0,78.3
Mumbai,Monsoon,24.6,0.0,98.0
Mumbai,Monsoon,22.5,7.6,96.3
Pune,Monsoon,21.1,5.3,79.6
Ahmedabad,Monsoon,18.0,0.8,79.4
Kolkata,Monsoon,19.3,8.3,
Chennai,Monsoon,24.1,31.8,98.0
Hyderabad,Monsoon,21.1,0.0,84.5
Pune,Monsoon,18.9,1.3,79.0
Pune,Monsoon,19.4,0.1,94.5
Delhi,Monsoon,13.5,6.6,80.3
Mumbai,Monsoon,20.3,0.0,98.0
Hyderabad,Monsoon,19.0,2.8,76.9
Delhi,Monsoon,12.2,0.0,74.8
Mumbai,Monsoon,20.7,0.0,98.0
Chennai,Monsoon,24.0,33.1,95.4
Mumbai,Monsoon,22.3,0.0,91.2
Chennai,Monsoon,26.6,0.8,88.5
Delhi,Monsoon,14.8,0.7,67.8
Chennai,Monsoon,25.0,4.3,98.0
Kolkata,Monsoon,17.9,0.0,90.0
Bangalore,Monsoon,17.8,0.0,82.9
Delhi,Post-Monsoon,10.5,0.0,
Bangalore,Post-Monsoon,18.2,0.0,67.4
Delhi,Post-Monsoon,10.7,0.0,62.1
Kolkata,Post-Monsoon,19.6,0.0,76.7
Pune,Post-Monsoon,16.9,0.0,61.9
Chennai,Post-Monsoon,25.1,6.8,86.6
Chennai,Post-Monsoon,24.2,1.2,85.3
Kolkata,Post-Monsoon,16.5,0.0,65.8
Delhi,Post-Monsoon,10.0,0.0,53.9
Mumbai,Post-Monsoon,19.4,0.0,79.4
Pune,Post-Monsoon,20.0,0.0,53.0
Delhi,Post-Monsoon,11.3,0.0,64.5
Hyderabad,Post-Monsoon,20.3,0.6,56.3
Pune,Post-Monsoon,15.4,0.0,61.6
Delhi,Post-Monsoon,10.5,0.0,63.3
Hyderabad,Post-Monsoon,19.4,0.0,68.3
Ahmedabad,Post-Monsoon,17.4,0.0,61.4
Pune,Post-Monsoon,17.5,0.0,55.4
Kolkata,Post-Monsoon,15.5,0.0,65.3
Ahmedabad,Post-Monsoon,16.2,0.0,58.1
Kolkata,Post-Monsoon,18.0,0.0,72.2
Chennai,Post-Monsoon,,0.0,69.0
Delhi,Post-Monsoon,11.2,0.0,53.7
Ahmedabad,Post-Monsoon,20.3,0.0,62.5
Ahmedabad,Post-Monsoon,18.5,0.0,58.3
Pune,Post-Monsoon,19.2,0.0,60.5
Ahmedabad,Post-Monsoon,16.7,0.0,54.9
Bangalore,Post-Monsoon,21.6,0.0,62.0
Hyderabad,Post-Monsoon,19.6,0.0,61.8
Hyderabad,Post-Monsoon,21.6,0.0,66.0
Kolkata,Post-Monsoon,16.5,0.0,77.2
Chennai,Post-Monsoon,21.6,0.0,70.7
Pune,Post-Monsoon,20.3,0.0,48.4
Chennai,Post-Monsoon,23.2,0.0,69.0
Ahmedabad,Post-Monsoon,19.8,0.0,43.3
Mumbai,Post-Monsoon,21.3,0.0,75.0
Chennai,Post-Monsoon,22.3,0.0,71.9
Chennai,Post-Monsoon,26.0,0.0,56.2
Hyderabad,Post-Monsoon,20.5,0.0,
Hyderabad,Post-Monsoon,19.8,0.0,60.5
Hyderabad,Post-Monsoon,20.3,0.0,41.7
Ahmedabad,Post-Monsoon,21.0,0.0,31.0
Kolkata,Post-Monsoon,20.4,0.0,55.9
Chennai,Post-Monsoon,23.9,0.0,61.3
Bangalore,Post-Monsoon,17.8,0.0,63.8
Ahmedabad,Post-Monsoon,16.2,0.0,43.9
Kolkata,Post-Monsoon,18.6,0.0,61.7
Chennai,Post-Monsoon,25.0,0.0,65.6
Hyderabad,Post-Monsoon,18.3,0.0,46.3
Mumbai,Post-Monsoon,22.5,0.0,85.7
Bangalore,Post-Monsoon,20.9,0.0,55.5
Mumbai,Post-Monsoon,23.2,0.0,72.3
Bangalore,Post-Monsoon,21.2,0.0,48.8
Ahmedabad,Post-Monsoon,19.0,0.0,40.9
Mumbai,Post-Monsoon,24.6,0.0,69.1
Ahmedabad,Post-Monsoon,19.1,0.0,
Hyderabad,Post-Monsoon,21.6,0.0,45.8
Mumbai,Post-Monsoon,22.8,0.0,75.9
Ahmedabad,Post-Monsoon,21.7,0.0,47.0
Delhi,Post-Monsoon,15.4,0.0,49.9
Delhi,Post-Monsoon,17.2,0.0,54.5
Mumbai,Winter,,0.0,75.0
Kolkata,Winter,21.9,0.0,63.0
Chennai,Winter,25.8,0.0,80.7
Pune,Winter,22.7,0.0,58.5
Chennai,Winter,24.4,0.0,80.9
Pune,Winter,19.7,0.0,70.4
Ahmedabad,Winter,24.1,0.0,42.2
Pune,Winter,21.8,0.0,56.8
Mumbai,Winter,23.1,0.0,74.5
Delhi,Winter,17.4,0.0,49.9
Chennai,Winter,25.7,0.0,67.5
Kolkata,Winter,20.5,0.0,57.4
Bangalore,Winter,20.0,0.0,52.5
Delhi,Winter,18.0,0.0,41.6
Pune,Winter,,0.0,57.5
Ahmedabad,Winter,24.8,0.0,49.1
Chennai,Winter,24.5,0.0,68.7
Kolkata,Winter,22.0,0.0,50.2
Ahmedabad,Winter,23.3,0.1,46.8
Chennai,Winter,25.9,0.0,65.8
Chennai,Winter,25.4,0.0,65.8
Chennai,Winter,25.3,0.0,73.1
Kolkata,Winter,24.6,0.0,61.1
Delhi,Winter,20.3,0.2,46.9
Kolkata,Winter,25.9,0.0,59.7
Kolkata,Winter,24.0,0.0,67.3
Ahmedabad,Winter,25.2,0.0,44.7
Pune,Winter,25.0,0.0,49.1
Ahmedabad,Winter,27.9,0.0,43.9
Mumbai,Winter,26.4,0.0,74.2
Hyderabad,Winter,25.6,0.0,55.3
Mumbai,Winter,25.1,0.0,76.8
Mumbai,Winter,23.4,0.0,73.1
Kolkata,Winter,27.8,0.0,67.6
Bangalore,Winter,21.5,0.0,52.0
Ahmedabad,Winter,26.7,0.0,33.5
Bangalore,Winter,22.0,0.0,59.3
Pune,Winter,24.6,0.0,42.1
Ahmedabad,Winter,25.3,0.0,44.4
Ahmedabad,Winter,27.1,0.0,46.5
Hyderabad,Winter,25.6,0.0,48.2
Delhi,Winter,23.3,0.0,47.4
Hyderabad,Winter,25.5,0.0,44.9
Ahmedabad,Winter,29.4,0.0,33.8
Pune,Winter,23.2,0.0,50.1
Mumbai,Winter,26.7,0.0,76.7
Hyderabad,Winter,26.7,0.0,52.6
Delhi,Winter,24.2,0.0,44.7
Pune,Winter,25.5,0.0,58.1
Mumbai,Winter,29.9,0.0,74.2
Ahmedabad,Winter,29.1,0.0,52.5
Chennai,Winter,31.3,0.0,57.3
Ahmedabad,Winter,31.2,0.0,37.9
Mumbai,Winter,28.2,0.0,65.2
Bangalore,Winter,25.9,0.0,52.1
Ahmedabad,Winter,28.8,0.0,47.9
Ahmedabad,Winter,29.3,0.0,44.5
Chennai,Winter,32.3,0.0,69.2
Kolkata,Winter,28.1,0.0,
Pune,Winter,25.1,0.0,57.1
Delhi,Winter,25.7,0.0,43.9
Delhi,Winter,29.5,0.0,45.2
Bangalore,Winter,24.9,0.0,48.2
Kolkata,Winter,29.0,0.0,67.9
Kolkata,Winter,32.0,0.0,55.1
Ahmedabad,Winter,32.4,0.0,58.7
Chennai,Winter,32.2,0.0,72.3
Bangalore,Winter,25.7,0.0,60.4
Bangalore,Winter,22.0,0.0,66.0
Kolkata,Winter,31.7,0.0,63.7
Pune,Winter,27.0,0.0,51.9
Kolkata,Winter,31.2,0.0,68.0
Kolkata,Winter,31.3,0.0,57.2
Ahmedabad,Winter,29.8,0.0,48.6
Ahmedabad,Winter,33.8,0.0,38.2
Hyderabad,Winter,32.4,0.0,44.7
Pune,Winter,27.5,0.0,53.7
Hyderabad,Winter,,0.0,44.8
Chennai,Winter,31.3,0.0,65.3
Chennai,Winter,30.1,0.0,79.1
Pune,Winter,31.0,0.4,56.2
Ahmedabad,Winter,31.2,0.0,51.3
Pune,Winter,28.9,0.0,46.6
Bangalore,Winter,23.8,0.0,60.0
Mumbai,Winter,28.1,0.0,72.1
Hyderabad,Winter,32.0,0.0,57.3
Ahmedabad,Winter,33.7,0.0,43.0
Ahmedabad,Winter,34.6,0.1,32.6
Bangalore,Winter,28.7,0.0,50.3
Bangalore,Winter,28.5,0.1,44.9
Kolkata,Winter,33.6,0.0,68.2
Pune,Pre-Monsoon,30.5,0.0,57.4
Hyderabad,Pre-Monsoon,34.5,0.0,57.6
Pune,Pre-Monsoon,28.7,0.0,77.8
Ahmedabad,Pre-Monsoon,38.5,0.0,50.0
Mumbai,Pre-Monsoon,28.6,0.0,85.0
Chennai,Pre-Monsoon,33.5,0.0,87.1
Kolkata,Pre-Monsoon,36.9,0.0,80.4
Delhi,Pre-Monsoon,35.5,0.0,55.5
Delhi,Pre-Monsoon,35.7,0.0,56.8
Delhi,Pre-Monsoon,36.6,0.0,50.0
Kolkata,Pre-Monsoon,,0.0,73.9
Mumbai,Pre-Monsoon,30.7,0.0,67.4
Mumbai,Pre-Monsoon,32.9,0.0,74.6
Hyderabad,Pre-Monsoon,33.2,0.0,59.7
Chennai,Pre-Monsoon,34.2,0.0,69.8
Bangalore,Pre-Monsoon,26.9,0.0,67.0
Delhi,Pre-Monsoon,38.0,0.0,43.0
Pune,Pre-Monsoon,29.5,0.0,68.9
Chennai,Pre-Monsoon,34.5,0.0,74.1
Bangalore,Pre-Monsoon,29.3,0.0,68.9
Kolkata,Pre-Monsoon,35.7,0.0,87.1
Mumbai,Pre-Monsoon,31.5,0.0,88.1
Ahmedabad,Pre-Monsoon,37.5,0.0,60.4
Bangalore,Pre-Monsoon,25.5,0.4,61.2
Hyderabad,Pre-Monsoon,30.3,0.0,60.6
Kolkata,Pre-Monsoon,33.2,0.0,79.6
Pune,Pre-Monsoon,30.0,0.0,59.8
Ahmedabad,Pre-Monsoon,39.1,0.0,46.9
Chennai,Pre-Monsoon,34.9,0.0,85.3
Ahmedabad,Pre-Monsoon,38.1,0.3,43.1
Pune,Pre-Monsoon,31.7,0.0,58.2
Kolkata,Pre-Monsoon,34.6,0.0,
Kolkata,Pre-Monsoon,36.4,0.2,75.3
Pune,Pre-Monsoon,34.2,0.0,59.8
Mumbai,Pre-Monsoon,33.1,0.0,80.4
Ahmedabad,Pre-Monsoon,38.0,0.0,
Kolkata,Pre-Monsoon,33.9,0.0,73.3
Chennai,Pre-Monsoon,35.2,0.0,86.3
Hyderabad,Pre-Monsoon,33.1,0.0,61.1
Chennai,Pre-Monsoon,36.0,0.0,81.5
Bangalore,Pre-Monsoon,27.0,0.0,71.3
Mumbai,Pre-Monsoon,34.5,0.0,73.2
Ahmedabad,Pre-Monsoon,35.5,0.8,53.3
Hyderabad,Pre-Monsoon,33.9,0.0,51.5
Delhi,Pre-Monsoon,37.5,0.0,56.9
Hyderabad,Pre-Monsoon,32.3,0.0,56.6
Bangalore,Pre-Monsoon,27.5,0.0,64.9
Hyderabad,Pre-Monsoon,32.2,0.0,56.8
Kolkata,Pre-Monsoon,33.2,0.0,64.6
Kolkata,Pre-Monsoon,35.2,0.0,69.7
Ahmedabad,Pre-Monsoon,38.4,0.0,53.6
Kolkata,Pre-Monsoon,33.8,0.0,77.6
Hyderabad,Pre-Monsoon,33.9,0.0,64.9
Ahmedabad,Pre-Monsoon,37.8,0.0,54.2
Bangalore,Pre-Monsoon,,0.0,66.1
Chennai,Pre-Monsoon,35.2,0.0,71.5
Pune,Pre-Monsoon,29.4,0.0,60.1
Hyderabad,Pre-Monsoon,35.0,0.6,57.1
Pune,Pre-Monsoon,31.1,0.2,58.5
Delhi,Pre-Monsoon,38.5,0.0,60.8
Kolkata,Pre-Monsoon,33.6,0.0,72.9
Hyderabad,Pre-Monsoon,35.0,0.2,58.6
Chennai,Pre-Monsoon,32.9,0.0,61.6
Hyderabad,Pre-Monsoon,29.8,0.0,
Chennai,Pre-Monsoon,33.2,0.0,85.6
Ahmedabad,Pre-Monsoon,35.3,0.0,58.5
Kolkata,Pre-Monsoon,34.1,0.0,56.5
Delhi,Pre-Monsoon,37.5,0.6,63.8
Mumbai,Pre-Monsoon,31.7,0.0,85.3
Ahmedabad,Pre-Monsoon,39.4,0.2,62.0
Chennai,Pre-Monsoon,31.7,0.0,77.5
Bangalore,Pre-Monsoon,26.3,0.0,71.7
Hyderabad,Pre-Monsoon,29.7,0.0,61.2
Pune,Pre-Monsoon,28.7,0.0,64.1
Bangalore,Pre-Monsoon,28.2,0.0,74.0
Delhi,Pre-Monsoon,36.4,0.0,69.5
Pune,Pre-Monsoon,30.2,0.0,66.9
Kolkata,Pre-Monsoon,35.2,5.4,66.8
Hyderabad,Pre-Monsoon,31.2,0.0,63.8
Ahmedabad,Pre-Monsoon,36.0,0.0,51.9
Hyderabad,Pre-Monsoon,30.8,0.4,58.1
Hyderabad,Pre-Monsoon,29.6,0.0,53.1
Hyderabad,Pre-Monsoon,32.8,0.4,50.3
Kolkata,Pre-Monsoon,33.1,0.0,73.1
Delhi,Pre-Monsoon,38.1,0.0,60.0
Ahmedabad,Pre-Monsoon,36.0,0.7,56.8
Chennai,Pre-Monsoon,33.0,0.0,76.8
Mumbai,Pre-Monsoon,30.2,0.1,83.3
Hyderabad,Pre-Monsoon,32.3,0.0,58.9
Bangalore,Pre-Monsoon,27.8,0.0,58.8
Chennai,Pre-Monsoon,31.0,0.7,86.3
Chennai,Pre-Monsoon,30.9,0.0,91.7
Chennai,Monsoon,30.9,13.1,93.4
Bangalore,Monsoon,24.6,0.0,92.9
Mumbai,Monsoon,30.3,57.8,98.0
Bangalore,Monsoon,25.5,0.0,79.9
Kolkata,Monsoon,32.4,0.0,91.9
Delhi,Monsoon,31.0,0.0,73.4
Mumbai,Monsoon,29.2,9.7,98.0
Hyderabad,Monsoon,31.7,0.0,72.2
Chennai,Monsoon,31.3,23.0,96.6
Mumbai,Monsoon,27.5,7.8,83.0
Mumbai,Monsoon,30.0,2.1,97.2
Pune,Monsoon,27.5,26.0,84.8
Delhi,Monsoon,32.9,6.9,65.2
Hyderabad,Monsoon,30.4,7.8,89.2
Delhi,Monsoon,29.7,5.1,68.9
Chennai,Monsoon,32.5,0.0,97.2
Mumbai,Monsoon,30.9,0.0,98.0
Kolkata,Monsoon,30.7,61.2,94.6
Mumbai,Monsoon,29.0,10.5,97.9
Ahmedabad,Monsoon,32.8,0.0,85.6
Pune,Monsoon,27.7,0.0,89.1
Ahmedabad,Monsoon,31.1,0.0,66.3
Ahmedabad,Monsoon,29.7,3.3,67.2
Delhi,Monsoon,30.1,13.5,65.5
Bangalore,Monsoon,23.9,4.8,82.9
Kolkata,Monsoon,32.5,0.0,87.6
Hyderabad,Monsoon,25.5,23.7,83.2
Kolkata,Monsoon,29.7,7.0,81.9
Pune,Monsoon,27.6,11.2,77.5
Delhi,Monsoon,28.8,0.0,74.1
Chennai,Monsoon,31.2,1.7,82.8
Chennai,Monsoon,29.2,4.5,94.6
Ahmedabad,Monsoon,29.3,3.0,78.0
Delhi,Monsoon,29.7,36.4,78.1
Hyderabad,Monsoon,26.7,0.0,89.1
Hyderabad,Monsoon,24.2,0.0,75.9
Ahmedabad,Monsoon,28.3,7.7,70.8
Delhi,Monsoon,26.7,2.5,82.0
Delhi,Monsoon,27.5,0.0,63.9
Hyderabad,Monsoon,27.1,0.0,85.6
Mumbai,Monsoon,29.7,27.0,98.0
Hyderabad,Monsoon,27.1,0.0,89.2
Pune,Monsoon,23.2,34.2,86.3
Pune,Monsoon,22.8,0.0,82.5
Mumbai,Monsoon,29.2,0.0,98.0
Kolkata,Monsoon,27.5,40.7,88.7
