hotel_id,hotel_name,city,rating,cost,facilities
24,"Biverah Hotel and Suites, 4-star hotels in Trivandrum, Medical college, kims hospital, hotels in trivandrum, budget hotel",trivandrum,3.3,1007,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Bar, Restaurant, Room service, Full-service laundry"
25,Montecello Home Stay,trivandrum,4.9,9488,"Free Wi-Fi, Paid parking, Pet-friendly, Beach access, Kitchen, Full-service laundry, Kid-friendly"
26,HOTEL HIGHLAND,trivandrum,3.7,4194,"3-star hotel, Free breakfast, Free Wi-Fi, Paid parking, Air conditioning, Restaurant, Room service, Airport shuttle, Full-service laundry"
27,Ariya Nivaas - A Vegetarian Hotel,trivandrum,3.2,1995,"2-star hotel, Breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Full-service laundry, Accessible, Kid-friendly"
28,PLANET RESIDENCY,trivandrum,3.2,1018,"Free Wi-Fi, Paid parking, Air conditioning, Breakfast, Kitchen"
29,Saras Park Inn,trivandrum,4.7,5977,"2-star hotel, Air conditioning, Kitchen, Full-service laundry, Kid-friendly"
30,Stayzone Royal INN,trivandrum,4.2,4738,"Breakfast, Free Wi-Fi, Free parking, Air conditioning, Room service, Kitchen, Airport shuttle, Full-service laundry, Kid-friendly"
31,Hotel Prathiba Heritage,trivandrum,4.6,10256,"Free Wi-Fi, Free parking, Air conditioning, Restaurant, Full-service laundry, Kid-friendly, Smoke-free"
32,Adara Residency,trivandrum,4.5,10745,
33,Hotel Venkateswara,trivandrum,4.1,5031,"3-star hotel, Breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Full-service laundry, Accessible"
34,Hilton Garden Inn Trivandrum,trivandrum,4.9,7283,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Bar, Restaurant"
35,KTDC Grand Chaithram,trivandrum,3.8,2937,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Full-service laundry, Accessible"
36,Majestic Lodge,trivandrum,4.1,2550,"Free breakfast, Free Wi-Fi, Paid parking, Kitchen"
37,Safire Residency,trivandrum,4.7,5986,"3-star hotel, Wi-Fi, Air conditioning, Pet-friendly, Kitchen, Airport shuttle, Full-service laundry, Kid-friendly"
38,Hotel Sunday - Townhouse Club - Near Airport - Trivandrum,trivandrum,4.2,3673,"Breakfast, Free Wi-Fi, Free parking, Kitchen, Airport shuttle, Full-service laundry"
39,Meghna Residency,trivandrum,4.7,9139,"3-star hotel, Breakfast, Free Wi-Fi, Free parking, Air conditioning, Room service, Airport shuttle, Full-service laundry, Accessible"
40,The South Gate By WB Hotels,trivandrum,4.2,5783,"Free breakfast, Free Wi-Fi, Air conditioning, Room service, Full-service laundry, Kid-friendly"
41,Anies Garden | Rooms in a Homestay,trivandrum,4.4,3070,"Sleeps 5, 2 bedrooms, Air conditioning, Fireplace, Cable TV, Paid parking, Free Wi-Fi, No crib, No elevator"
42,Treebo Trend Goodland Residency,trivandrum,3.1,1481,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Pet-friendly, Restaurant, Room service, Airport shuttle"
43,Windsor Rajadhani,trivandrum,3.5,4093,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
44,Backwater Ripples,kumarakom,3.6,1625,"3-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant"
45,Lakesong Resort,kumarakom,3.2,1275,"4-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant"
46,Abad Whispering Palms | Resort in Kumarakom,kumarakom,3.5,3672,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant"
47,Cocobay Resort,kumarakom,3.2,1781,"3-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant"
48,Paradise Resorts Kumarakom,kumarakom,3.6,3040,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Spa, Restaurant, Airport shuttle"
49,"The Zuri Kumarakom, Kerala Resort & Spa",kumarakom,4.3,5939,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
50,Saro Lake County,kumarakom,3.7,3358,"3-star hotel, Free breakfast, Free Wi-Fi, Paid parking, Pool, Air conditioning, Restaurant, Kitchen, Airport shuttle"
51,Kumarakom Heritage Resort & Ayurveda,kumarakom,3.7,2896,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Spa, Bar, Restaurant"
52,Rhythm Kumarakom,kumarakom,3.4,1544,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant"
53,Manor Backwater Resort,kumarakom,3.5,3015,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Kitchen, Full-service laundry"
54,ILLIKKALAM Lakeside Cottages,kumarakom,4.9,7052,"3-star hotel, Breakfast, Free Wi-Fi, Free parking, Air conditioning, Pet-friendly, Restaurant, Room service, Kitchen"
55,KTDC Waterscapes,kumarakom,4.3,5157,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar"
56,Backwater Brook,kumarakom,4.2,3195,"Free breakfast, Free Wi-Fi, Pool, Restaurant, Kitchen, Full-service laundry, Kid-friendly"
57,Gokulam Grand Resort and Spa Kumarakom,kumarakom,3.3,1115,"Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant, Room service"
58,Backwater Ripples,kumarakom,4.5,5774,"3-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant"
59,Lily Pad on the Vembanad,kumarakom,3.3,1544,"3-star hotel, Free breakfast, Free Wi-Fi, Paid parking, Pool, Air conditioning, Spa, Restaurant, Room service"
60,Kumarakom Lake Resort,kumarakom,3.8,4030,"5-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
61,Renai Green Fields,kumarakom,5.0,4907,"3-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Restaurant, Room service"
62,Kumarakom Park Resort,kumarakom,4.3,3168,"Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Bar, Restaurant, Room service, Full-service laundry"
63,Meenakshi River Villa | Rooms & Wi-Fi,kumarakom,4.1,4729,"Sleeps 6, 2 bedrooms, Air conditioning, Fireplace, Paid parking, Free Wi-Fi, No crib, No elevator, No fitness center"
64,Kumarakom Wood Castle,kumarakom,4.4,6129,"Sleeps 3, 1 bedroom, Air conditioning, Fireplace, Cable TV, Paid parking, Free Wi-Fi, No crib, No elevator"
65,Abad Whispering Palms | Resort in Kumarakom,kumarakom,4.7,9922,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant"
66,ILLIKKALAM Lakeside Cottages,kumarakom,4.6,7973,"3-star hotel, Breakfast, Free Wi-Fi, Free parking, Air conditioning, Pet-friendly, Restaurant, Room service, Kitchen"
67,Treebo Trend Kuval Inn,pune,3.5,3489,"Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Full-service laundry, Kid-friendly"
68,Hotel Corporate Stay,pune,3.1,2710,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Kitchen, Airport shuttle"
69,Jugglers Backpack,pune,3.6,3196,"Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Room service, Kitchen, Airport shuttle, Full-service laundry, Business center"
70,Hyatt Pune,pune,3.5,2618,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar"
71,"The Central Park Hotel, Pune",pune,3.4,1782,"4-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant"
72,"Four Points by Sheraton Hotel & Serviced Apartments, Pune",pune,4.9,10684,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar"
73,Hotel Phoenix,pune,4.8,8697,"3-star hotel, Free breakfast, Wi-Fi, Paid parking, Air conditioning, Restaurant, Room service, Airport shuttle, Full-service laundry"
74,Hotel anvisha executive,pune,3.6,1966,
75,EMA Family Rooms,pune,4.3,5327,"Sleeps 6, 2 bedrooms, Air conditioning, Fireplace, Kitchen, Cable TV, Paid parking, Free Wi-Fi, No crib"
76,JM Four Hotel,pune,3.8,3260,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Airport shuttle, Full-service laundry"
77,Royal Orchid Central Pune,pune,4.8,5408,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Bar, Restaurant"
78,"StayBird - B Suite, Business Hotel",pune,3.9,2660,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Kitchen, Airport shuttle"
79,Hotel Sardar,pune,3.5,4277,"3-star hotel, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Kitchen, Full-service laundry, Kid-friendly"
80,Sunny's World,pune,3.5,4279,"Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Kitchen, Full-service laundry, Accessible"
81,Procida Hostel by Zero Jhanjhat,pune,4.1,6486,"Breakfast, Free Wi-Fi, Pool, Restaurant, Full-service laundry"
82,The Oakwood,pune,3.5,3658,"4-star hotel, Free breakfast, Wi-Fi, Paid parking, Air conditioning, Restaurant, Room service, Kitchen, Full-service laundry"
83,Sheraton Grand Pune Bund Garden Hotel,pune,4.2,5026,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
84,Pratikruti The Lakeview Resort,pune,4.8,4872,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Pet-friendly, Restaurant, Room service"
85,Hotel Centro,pune,3.8,2403,"Breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Full-service laundry, Accessible, Kid-friendly"
86,St Laurn Hotel,pune,3.4,2518,"4-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Bar, Restaurant, Room service"
87,Cherry Tree | Rooms & Wi-Fi,pune,5.0,9409,"Sleeps 3, 1 bedroom, Air conditioning, Fireplace, Free parking, Free Wi-Fi, No crib, No elevator, No fitness center"
88,Fairfield by Marriott Pune Kharadi,pune,4.0,2948,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Fitness center, Bar, Restaurant, Room service"
89,Sunny's World,pune,3.2,931,"Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Kitchen, Full-service laundry, Accessible"
90,Novotel Chennai Sipcot,chennai,3.1,1737,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Bar, Restaurant"
91,Park Plaza Chennai OMR,chennai,3.2,2134,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar"
92,Avenue 11 Boutique Residences | Rooms & Caretaker,chennai,4.3,4230,"Sleeps 8, 3 bedrooms, Air conditioning, Fireplace, Paid parking, Free Wi-Fi, No crib, No elevator, No fitness center"
93,"Olive Inn Luxurious 4-BHK Villa with Indoor Swimming Pool, Wifi, BBQ",chennai,4.6,10786,"Villa, Sleeps 10, 4 bedrooms, 7 bathrooms, Air conditioning, Pool, Kitchen, Smoke-free, Free parking"
94,Juhu Beach House ECR,chennai,3.8,2062,"Free Wi-Fi, Free parking, Pool, Air conditioning, Beach access, Kitchen, Full-service laundry"
95,Umino Beach Resort Banquet Hall and Restaurant,chennai,3.1,1946,"Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Beach access, Restaurant, Room service, Full-service laundry"
96,VGP Golden Beach Resort,chennai,3.8,2685,"2-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Spa, Beach access"
97,"Regenta Central RS, Chennai(OMR). 4 Star Hotel",chennai,5.0,7187,"Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Bar, Restaurant, Room service"
98,Turyaa Chennai,chennai,4.1,3482,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar"
99,Blue Lagoon Beach Resort,chennai,4.9,4563,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Room service, Full-service laundry"
100,Fairfield by Marriott Chennai OMR,chennai,4.7,8574,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Fitness center, Bar, Restaurant, Room service"
101,Four Points by Sheraton Chennai OMR,chennai,3.0,2663,"4-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Restaurant, Room service"
102,"Taj Club House, Chennai",chennai,4.4,3939,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Pet-friendly, Fitness center, Spa"
103,"Vivanta Chennai, IT Expressway",chennai,4.4,3558,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Pet-friendly, Fitness center, Spa"
104,Ilara Hotels & Spa,chennai,4.1,5614,"3-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Spa, Restaurant, Room service"
105,Maroma Suites,chennai,3.5,3681,"Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Airport shuttle, Full-service laundry, Accessible"
106,The Madras Grand - Hotel Egmore,chennai,4.3,4385,"Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Fitness center, Restaurant, Room service, Airport shuttle, Full-service laundry"
107,"Holiday Inn Express Chennai Omr Thoraipakkam, an IHG Hotel",chennai,3.2,2949,"2-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Fitness center, Restaurant, Room service, Airport shuttle"
108,"Crowne Plaza New Delhi Rohini, an IHG Hotel",delhi,3.9,3788,"4-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
109,ट्राइडेंट होटल,delhi,3.9,4236,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
110,Nu Delhi Homestay - Deluxe Double Room,delhi,4.9,11104,"House, Sleeps 2, 1 bedroom, 1 bathroom, 2 beds, Air conditioning, Crib, Fitness center, Heating"
111,The Leela Ambience Convention Hotel Delhi,delhi,4.8,7401,"5-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
112,Hotel City Park- Hotels in Delhi,delhi,3.5,1795,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
113,Hotel Mayda Residency By Mayda Hospitality Pvt. Ltd.,delhi,4.0,5752,"Breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Airport shuttle, Full-service laundry, Accessible"
114,JRD Pride,delhi,3.4,1073,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Airport shuttle, Full-service laundry"
115,Radisson Blu Hotel New Delhi Paschim Vihar,delhi,4.8,8073,"5-star hotel, Breakfast, Free Wi-Fi, Paid parking, Pool, Air conditioning, Fitness center, Spa, Bar"
116,IIDL Suites,delhi,4.7,4653,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
117,Park Inn by Radisson New Delhi IP Extension,delhi,3.6,3383,"4-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Bar, Restaurant"
118,IIDL Suites,delhi,4.3,3137,"Apartment, Sleeps 10, Air conditioning, Airport shuttle, Elevator, Fireplace, Fitness center, Hot tub, Kitchen"
119,"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",delhi,4.2,5064,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar"
120,Sarovar Portico Naraina,delhi,3.3,2658,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Kitchen, Airport shuttle"
121,Hyatt Centric Janakpuri New Delhi,delhi,4.5,9197,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar"
122,"Taj Palace, New Delhi",delhi,4.1,5813,"5-star hotel, Breakfast, Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
123,The Pamposh,delhi,4.6,10312,"3-star hotel, Free breakfast, Free Wi-Fi, Air conditioning, Restaurant, Full-service laundry, Business center, Kid-friendly"
124,Caves by Craftels,delhi,4.1,5921,"Breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Spa, Restaurant, Room service"
125,Bloomrooms @ Janpath,delhi,3.0,2085,"3-star hotel, Breakfast, Free Wi-Fi, Free parking, Air conditioning, Fitness center, Restaurant, Room service, Full-service laundry"
126,Ramada by Wyndham New Delhi Pitampura,delhi,3.6,1971,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Fitness center, Restaurant, Room service, Accessible"
127,Bloom Boutique | GK-1,delhi,3.0,2559,"3-star hotel, Breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Kitchen, Full-service laundry"
128,The Grand Parisian,delhi,4.9,4670,"3-star hotel, Free breakfast, Wi-Fi, Air conditioning, Restaurant, Room service, Full-service laundry, Kid-friendly"
129,amigosindia,delhi,4.8,7160,"1-star hotel, Breakfast, Free Wi-Fi, Paid parking, Air conditioning, Pet-friendly, Restaurant, Kitchen, Airport shuttle"
130,Holiday Inn Express New Delhi Int'l Airport T3,delhi,4.7,5907,"3-star hotel, Free breakfast, Free Wi-Fi, Air conditioning, Fitness center, Spa, Paid parking, Bar, Restaurant"
131,"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",delhi,3.6,4031,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar"
132,Treebo Trend Lazystay Grand - Hotel in Bhubaneswar,bhubaneswar,3.1,2784,"Free breakfast, Free Wi-Fi, Paid parking, Pool, Restaurant, Room service, Kitchen, Full-service laundry"
133,"MAYFAIR Convention, Bhubaneswar",bhubaneswar,4.8,11315,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Hot tub, Air conditioning, Fitness center, Spa, Bar"
134,Hello Stay Hotel Bhubaneswar,bhubaneswar,4.9,10149,"Breakfast, Free Wi-Fi, Paid parking, Air conditioning, Kitchen, Airport shuttle, Full-service laundry, Kid-friendly"
135,Hotel SJ Pride,bhubaneswar,3.2,2382,"2-star hotel, Free Wi-Fi, Pool, Restaurant, Kitchen, Airport shuttle, Full-service laundry"
136,Empires Hotel Bhubaneswar,bhubaneswar,4.0,3221,"3-star hotel, Breakfast, Free Wi-Fi, Paid parking, Pool, Air conditioning, Fitness center, Spa, Bar"
137,"MAYFAIR Convention, Bhubaneswar",bhubaneswar,3.1,2688,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Hot tub, Air conditioning, Fitness center, Spa, Bar"
138,"Mango Hotels–Prangan, Bhubaneswar",bhubaneswar,4.5,11418,"3-star hotel, Breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Kitchen, Airport shuttle"
139,Mayfair Lagoon,bhubaneswar,4.5,5367,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
140,Venus Inn Restaurant,bhubaneswar,3.3,1896,"4-star hotel, Free breakfast, Free Wi-Fi, Air conditioning, Restaurant, Room service, Airport shuttle, Full-service laundry, Kid-friendly"
141,Ginger Bhubaneshwar,bhubaneswar,4.0,6069,"2-star hotel, Free Wi-Fi, Paid parking, Air conditioning, Fitness center, Breakfast, Full-service laundry, Kid-friendly"
142,THE GREENSTAR INN PREMIUM,bhubaneswar,4.1,5780,"Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Room service, Kitchen"
143,IRA By Orchid Bhubaneswar ( Formerly Vits Bhubaneswar ),bhubaneswar,3.5,3646,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Restaurant, Room service"
144,Swosti Premium - Luxury 5-Star Hotel in Bhubaneswar,bhubaneswar,4.7,5144,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Bar, Restaurant"
145,"Vivanta Bhubaneswar, DN Square",bhubaneswar,3.8,3121,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Pet-friendly, Fitness center, Spa"
146,"Welcomhotel By ITC Hotels, Bhubaneswar-LEED Platinum Certified Premium Hotel Near the Airport| 1.5 hrs away from Puri",bhubaneswar,3.4,2170,"4-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar"
147,Hotel Excellency (A Unit of Excellency Resorts Pvt. Ltd.),bhubaneswar,4.1,5281,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Bar, Restaurant"
148,Super OYO Townhouse 235 Swain Heritage,bhubaneswar,4.5,6315,"Apartment, Sleeps 4, 2 bedrooms, Air conditioning, Cable TV, Free Wi-Fi, No airport shuttle, No beach access, No elevator"
149,Treebo Trend Oasis,bhubaneswar,3.4,2264,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Kitchen, Full-service laundry"
150,IRA By Orchid Bhubaneswar ( Formerly Vits Bhubaneswar ),bhubaneswar,3.6,2188,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Restaurant, Room service"
151,The Westin Goa,goa,5.0,5125,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Bar"
152,The LaLiT Golf & Spa Resort Goa,goa,4.3,6681,"5-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
153,Casa Seaesta Beach Cottages and Suites,goa,3.9,4093,"Sleeps 6, 2 bedrooms, Air conditioning, Airport shuttle, Pool, Smoke-free, Free parking, Free Wi-Fi, No beach access"
154,Radisson Resort Goa Baga,goa,4.0,3434,"4-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
155,W Goa,goa,3.2,2988,"5-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Pet-friendly, Fitness center, Spa"
156,"The Hosteller Goa, Arpora",goa,3.4,1694,"Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant"
157,Grand Hyatt Goa,goa,3.7,2931,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Hot tub, Air conditioning, Fitness center, Spa"
158,Little India Beach Cottages,goa,4.2,5376,"House, Sleeps 10, 5 bedrooms, 5 bathrooms, Air conditioning, Pool, Free parking, Free Wi-Fi, No airport shuttle"
159,"Holiday Inn Resort Goa, an IHG Hotel",goa,3.5,4479,"5-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Beach access"
