Restaurant Name,Cuisine,Average Cost,Rating,City
Kaudi Ki Chai,Street Food,100,4.0,Kanpur
Slices,North Indian,250,4.0,Raipur
Square,Indian,100,4.3,Vellore
States,"South Indian, North Indian, Street Food, Biryani",100,3.5,Mysore
Baker Street,Fast Food,100,3.2,Indore
st Century Bakery,Fast Food,200,3.9,Jodhpur
st Fast Food,Fast Food,400,3.9,Jodhpur
Constanzaa,Indian,200,4.4,Chennai
Food Point,Fast Food,350,3.5,Ludhiana
B Shakes,Fast Food,500,4.0,Coimbatore
B The Resort,"North Indian, Fast Food",200,3.9,Meerut
G Nutri Kulche Wale,"North Indian, Street Food",250,4.1,Jalandhar
nd Parallel,South Indian,200,4.0,Rajkot
Fusion Momos,Indian,150,4.2,Dharamshala
Carats Mithai Magic,Indian,100,4.4,Surat
Hours Bakery Shop,Bakery,200,3.7,Indore
Royal Chinese Cafe,Indian,100,3.6,Vadodara
Maggi Villa,Fast Food,200,4.0,Meerut
Food Ex,"North Indian, Fast Food, Street Food, Biryani",50,3.9,Bhopal
Seven,"North Indian, Fast Food, Street Food",250,4.0,NCR
Seven,"North Indian, Fast Food, Street Food",250,4.0,Delhi NCR
Rice Bowls,North Indian,350,4.3,Ludhiana
Street Jam Cafe,Fast Food,200,3.6,Guwahati
States,North Indian,150,3.4,Bhopal
ND Wife,"North Indian, Fast Food",250,4.2,Agra
o Di Restro Cafe,"North Indian, Fast Food",150,3.9,Indore
Coins,Indian,450,4.4,Nellore
Hill Cart Road Jhale Jhole Ambole,Indian,100,4.2,Siliguri
K Resorts,"North Indian, Biryani",400,3.8,Ludhiana
Mom s Kitchen,North Indian,50,4.3,Indore
Monkey s Cafe,Fast Food,150,4.1,Coimbatore
Not Ice Cream Cafe,Indian,200,4.2,Chandigarh
Peg Bar Restaurant,Indian,250,4.0,Jamshedpur
Star Bakery,"Fast Food, Bakery",150,4.5,Warangal
Star Sweets Bakery Restaurant,"Fast Food, Bakery",100,4.3,Warangal
Story,"North Indian, Fast Food",100,4.0,Surat
Way Adda,Street Food,250,3.5,Guwahati
Way Point,Biryani,250,3.9,Guwahati
Way Restaurant Cafe,Indian,250,3.4,Allahabad
Cordon Bleu,"North Indian, Fast Food",100,4.3,Dehradun
F Urban Waffle,Indian,100,4.0,Ranchi
Burgers,Fast Food,150,3.4,Lucknow
Eat Street,Biryani,200,2.9,Guwahati
Park Street By Junction,"North Indian, Biryani",150,4.1,Jamshedpur
Chowringhee Lane,Indian,100,3.7,Bhopal
Chowringhee Lane,Fast Food,150,3.7,Delhi NCR
Chowringhee Lane,Fast Food,300,3.7,NCR
Chowringhee Lane,Indian,100,3.8,Chandigarh
Chowringhee Lane,Indian,150,3.8,Ludhiana
Chowringhee Lane,Indian,200,3.9,Dehradun
Chowringhee Lane,Fast Food,100,4.2,Rishikesh
Stairs,"South Indian, North Indian",150,4.2,Allahabad
th August,Indian,250,3.5,Jalandhar
China Town,Indian,250,3.3,Amravati
China Town,Indian,10,3.7,NCR
Street Affair,"North Indian, Fast Food",250,4.1,Guwahati
The Central,"North Indian, Fast Food, Biryani",300,4.3,Shimla
Street,Fast Food,100,4.1,Chandigarh
B Tea,Indian,150,3.5,Vadodara
C s Cafe,Fast Food,100,4.0,Agra
C s Shake Time,Indian,150,4.0,Agra
D FoodZ,"North Indian, Fast Food",250,4.0,Amritsar
Monkeys,"North Indian, Fast Food, Biryani",250,4.0,Dehradun
rd Milestone Restaurant,"North Indian, Fast Food",150,4.0,Meerut
Seventy Bistro,Fast Food,200,4.2,Surat
Seventy Kitchen,North Indian,150,4.2,Surat
T Foodrinks,"North Indian, Fast Food, Biryani",100,4.0,Patna
Chef AIIMS,"North Indian, Fast Food",100,4.3,Rishikesh
Chef Cafe Snack Bar,"South Indian, North Indian, Street Food",100,3.5,Rishikesh
Chili s Kitchen,"North Indian, Biryani",300,4.1,Hyderabad
Mealer,Fast Food,200,4.1,Lucknow
Seasons,"North Indian, Biryani",350,4.1,Hyderabad
seasons The Cafe Restro,North Indian,150,4.0,Guwahati
Seasons Bakery Restaurant,"North Indian, Biryani, Bakery",200,4.3,Visakhapatnam
Ways Cafe Pizza,Fast Food,200,4.0,Chandigarh
Indian Thalis PAU,North Indian,150,3.8,Ludhiana
South Tangra Road,Indian,100,4.2,Kolkata
Deg C,Fast Food,250,4.3,Nagpur
M Biryani House,Biryani,200,3.1,Vijayawada
M Biryani House,"North Indian, Biryani",350,4.2,Hyderabad
M Kitchen,North Indian,200,3.7,Surat
th Street Dining Hall,Indian,100,4.3,Kolkata
Flavours Restaurant Cafe,"North Indian, Fast Food",200,3.5,Ajmer
Heads Resto Cafe,"Fast Food, Bakery",250,3.2,Visakhapatnam
Shots Bistro Cafe,Fast Food,100,3.1,Coimbatore
Shots The Juice Bar,Fast Food,100,4.1,Salem
Spice,Indian,100,3.8,Mumbai
Star Canteen,North Indian,150,4.0,Goa
Star Diamond Classic Pizza,Fast Food,250,4.1,Saharanpur
Star Momos,Indian,150,3.7,Guwahati
Star Pizza,Indian,350,3.6,Gorakhpur
Ml Bar,"North Indian, Biryani",150,4.0,Kanpur
Shades Of Food,Fast Food,100,3.6,Kolkata
Burger,Indian,150,3.4,Chennai
Cafe House,"North Indian, Fast Food, Biryani",100,4.0,Patna
Bistro,"North Indian, Biryani",150,4.0,Nellore
Rajwade Cafe Restaurant,"North Indian, Fast Food",200,3.7,Jabalpur
Ballygunge Place,Indian,200,4.3,Kolkata
Ballygunge Place Take Away,Indian,50,4.4,Kolkata
Ballygunge Place Takeaway,North Indian,100,4.2,Kolkata
Ballygunge Place Thali,Fast Food,150,4.2,Kolkata
One Restaurant,North Indian,200,4.0,Darbhanga
ML,"North Indian, Biryani",150,3.8,Indore
Corner Fast Food,Indian,150,4.1,Hyderabad
Cafe,Indian,250,3.3,Jalandhar
Art s Of Swad,"North Indian, Street Food",250,4.0,Bhavnagar
Bakes,Fast Food,150,4.3,Mangalore
Cheese Pizza,Fast Food,200,4.1,Dehradun
Coffee Beans,Street Food,100,4.3,Guntur
Colour s Kabab Hut,"North Indian, Biryani",250,4.0,Patna
Days,"North Indian, Fast Food",150,3.5,Patna
Days Pure Veg Restaurant,"South Indian, North Indian, Fast Food, Street Food",400,3.7,Nagpur
Degree Lounge,"North Indian, Fast Food, Biryani",600,3.9,Kanpur
Eleven Fried Chicken,Fast Food,100,4.0,Trichy
Heaven Restro,"North Indian, Biryani",100,4.0,Allahabad
Sisters,Indian,300,4.1,Hyderabad
Spice,Indian,350,4.1,Mumbai
Spicery,North Indian,150,4.0,Lucknow
Spices,"North Indian, Biryani",150,4.1,Ajmer
Spices Restaurant,North Indian,250,4.1,Kota
Star Dhaba,"North Indian, Fast Food",150,4.1,Ajmer
Fried Ice Cream,Indian,100,3.0,Kolkata
Fried Ice Cream Parlour,Fast Food,100,3.0,Kolkata
Percent Diet,Indian,150,4.4,Dehradun
Percent Restro Cafe,"North Indian, Fast Food, Street Food",250,4.3,Dehradun
Degrees Cafe Restro,"North Indian, Fast Food",150,3.6,Bhopal
Singh,"North Indian, Fast Food, Street Food",200,3.9,Jaipur
Biryani,Biryani,350,4.1,Vijayawada
Chicken Biryani Center Chacha Ki Dukan,"Street Food, Biryani",150,3.8,Raipur
th Cloud Restaurant,"North Indian, Fast Food, Biryani",300,4.2,Indore
th Heaven,"Fast Food, Bakery",100,3.3,Jalandhar
th Heaven,Bakery,200,3.3,Motihari
th Heaven,Bakery,150,3.4,Raipur
th Heaven,"Fast Food, Bakery",300,3.4,Darbhanga
th Heaven,Bakery,300,3.6,Mumbai
th Heaven,Bakery,100,3.7,Rajkot
th Heaven,"Fast Food, Bakery",200,3.7,Amritsar
th Heaven,"Fast Food, Bakery",200,3.8,Jhansi
th Heaven,Bakery,200,3.8,Patna
th Heaven,Bakery,50,3.9,Darbhanga
th Heaven,Fast Food,100,3.9,Firozabad
th Heaven,Bakery,250,3.9,Siliguri
th Heaven,Bakery,100,4.0,Vijayawada
th Heaven,Fast Food,100,4.0,Haridwar
th Heaven,"Fast Food, Bakery",200,4.0,Kolkata
th Heaven,Bakery,50,4.1,Jamshedpur
th Heaven,"Fast Food, Bakery",150,4.1,Ludhiana
th Heaven,Bakery,100,4.2,Lucknow
th Heaven,Bakery,200,4.2,Bareilly
th Heaven,"Fast Food, Bakery",200,4.2,Varanasi
th Heaven,"Fast Food, Bakery",250,4.2,Patna
th Heaven,Bakery,150,4.3,Cuttack
th Heaven,Bakery,150,4.3,Jhansi
th Heaven,Bakery,300,4.3,Manipal
th Heaven A Slice of Happiness,Indian,100,4.0,Mangalore
th Heaven A Slice of Happiness,"Fast Food, Bakery",200,4.3,Manipal
th Heaven A Slice of Happiness,Bakery,100,4.4,Mangalore
th Heaven Bakery,"Fast Food, Bakery",150,4.3,Visakhapatnam
th Heaven Cafe,"Fast Food, Bakery",150,3.9,Jhansi
th Heaven Cafe Lounge,Fast Food,100,3.4,Jhansi
th Heaven Cake Shop,"Fast Food, Bakery",200,4.2,Coimbatore
th Heaven Cake Shop,Bakery,200,4.2,Pune
th Heaven Cake Shop,Bakery,400,4.3,Patna
th Heaven Restaurant,"North Indian, Fast Food, Street Food",200,3.0,Gaya
th Heaven Slice Of Happiness,"Fast Food, Bakery",100,4.3,Mangalore
th Heaven Derebail,"Fast Food, Bakery",100,4.0,Mangalore
th Sky,Bakery,150,3.7,Patna
ven ven Restaurant,"North Indian, Fast Food, Biryani",250,4.3,Chandigarh
Momoz,"North Indian, Fast Food",200,4.1,Dehradun
The Pizza Stone,"North Indian, Fast Food, Biryani",150,4.3,Ahmedabad
N Restaurant,"South Indian, North Indian, Fast Food, Street Food",100,3.6,Jaipur
CE Courtyard By Marriott,"South Indian, North Indian",150,3.9,Vadodara
Cafe Resto,"South Indian, North Indian, Fast Food, Street Food, Biryani",100,3.4,Patna
Mint Leaf,"North Indian, Biryani",200,4.2,Lucknow
th Day Cafe Bakery,Bakery,100,4.4,Kolkata
th Day Cafe Bakery,Bakery,200,4.4,Kolkata
Coins Cafe,Fast Food,100,4.0,Meerut
PM Cafe,North Indian,100,3.4,Kanpur
Shine,Fast Food,200,4.3,Jalandhar
Street Pizza,Indian,150,3.8,Gorakhpur
Tea s Cafe,"Fast Food, Street Food",150,3.5,Allahabad
To Biryani Street Food,"North Indian, Biryani",250,4.2,Patna
s Cafe,Fast Food,100,4.2,Salem
s Memories,Indian,40,3.8,Salem
s Restaurant,Biryani,350,4.0,Vijayawada
s Restro,"South Indian, North Indian, Fast Food",100,3.8,Jodhpur
Kitchen,"North Indian, Fast Food",100,3.9,Surat
The Fruit Truck,Indian,200,4.1,Ahmedabad
The Fruit Truck,Indian,150,4.5,Rajkot
The Fruit Window,Indian,100,4.2,Bhavnagar
Biryani Com,Biryani,100,3.6,Nagpur
Cakes,Indian,250,4.3,Mumbai
Cakes Bakers,Bakery,100,4.0,Bhavnagar
Chickens,"North Indian, Fast Food",150,4.3,Varanasi
Crispy Bazar,Fast Food,200,4.0,Cuttack
Dosa D lite Chaat Point,"South Indian, North Indian, Street Food",50,3.5,Gonda
Foodie Adda,Street Food,50,4.0,Bikaner
Only,North Indian,200,3.8,Guwahati
Pancakes,Bakery,150,4.0,Indore
Pancakes,Bakery,100,4.2,Mumbai
Pancakes,Bakery,100,4.2,Hyderabad
Pancakes,Bakery,200,4.2,Raipur
Pancakes,Bakery,200,4.2,Surat
Pancakes,Bakery,150,4.3,Nashik
Pancakes,Bakery,200,4.3,Kolhapur
Pancakes,Bakery,200,4.3,Allahabad
Pancakes,Bakery,100,4.5,Jabalpur
Pancakes,Fast Food,200,4.5,Varanasi
Pizza,Street Food,100,3.7,Mangalore
Pizza,Indian,200,3.9,Vellore
Pizza And More,Fast Food,150,3.8,Indore
Rotiwala,North Indian,200,3.6,Bhopal
Rotiwala,North Indian,200,3.6,Indore
Rotiwala,"North Indian, Biryani",100,4.0,Indore
Rotiwala LIG,North Indian,150,3.9,Indore
Sabjiwala,"North Indian, Street Food",100,3.4,Indore
Sweet Jars,Bakery,200,4.1,Amritsar
Tasty Food Hub,"Fast Food, Street Food",50,3.3,Ludhiana
Thali,North Indian,150,3.1,Nagpur
Trisha Foods,"North Indian, Street Food",250,3.8,Indore
Varieties Dosa Pav Bhaji,"South Indian, Street Food",150,3.7,Bangalore
Waffles,Indian,550,3.5,Mumbai
Wala By Qimbu,Street Food,200,4.3,Nashik
th Street,"North Indian, Biryani",100,4.1,Bhubaneswar
th Street Hideaway Restro And Cafe,"North Indian, Fast Food, Biryani",150,4.2,Bhubaneswar
A One Momo,Indian,250,4.4,Ranchi
A C Burger Shoppee,Fast Food,500,4.1,Agra
A bharit center,Indian,250,4.1,Jalgaon
A Pizza,Fast Food,200,3.8,Dehradun
A Balaji Santosh Dhaba,"North Indian, Biryani",150,4.1,Hyderabad
A Cafe,Fast Food,150,3.1,Guntur
A Ccream Corner,Indian,100,4.0,Kolhapur
A Dessert King,Bakery,100,3.7,NCR
A Gourmesserie,Bakery,150,4.4,Ahmedabad
A Kit Kat Bakery,"Fast Food, Bakery",200,4.1,Vijayawada
A Lua Restaurant Bar,North Indian,100,4.0,Goa
A Marron Burger,Fast Food,150,3.5,Ahmedabad
A Metro Cuisine,"North Indian, Biryani",250,3.8,Guwahati
A One Bakery,Bakery,200,2.6,Bareilly
A One Bakery,Bakery,50,3.6,Udaipur
A One Bakery,"Fast Food, Bakery",50,4.2,Lucknow
A One Bombay Biryani,"North Indian, Biryani",150,4.1,Ahmedabad
A One Coco,Indian,100,3.7,Surat
A One Coco,Indian,450,4.6,Surat
A One Cold Coco Juice Center,Indian,100,4.0,Surat
A One Cold Coco And Juice Corner,Indian,200,4.0,Surat
A One Fast Food,"North Indian, Street Food, Biryani",350,3.0,Agra
A One Fry Center,North Indian,400,3.5,Vadodara
A One Hotel Fast Food,North Indian,100,3.4,Cuttack
A One Hotel Restaurant,Biryani,100,3.7,Kolkata
A One Muradabadi Chicken Biryani Corner,Biryani,250,3.8,Patna
A One Parsi Food,Street Food,150,4.0,Surat
A Piece Of Cake,Bakery,100,3.8,Pune
A Pinch Of Salt,"North Indian, Fast Food, Biryani",300,3.6,Indore
A Pizzariya,Indian,150,3.2,Varanasi
A S Food Corner,North Indian,100,3.1,Meerut
A Silverr Oak,North Indian,100,4.0,Kolhapur
A Star Kitchen,Biryani,100,4.3,Puducherry
A Taste Of Home,"North Indian, Fast Food",200,4.5,Haridwar
A TO Z Burger Biryani And Paratha,Fast Food,200,3.5,Kota
A To Z Fast Food,Fast Food,250,3.6,Udaipur
A To Z Food Corner,Street Food,100,3.5,Jabalpur
A To Z Palamudir Nilayam,Indian,200,4.1,Coimbatore
A TO Z Pizza,"North Indian, Fast Food, Biryani",150,3.8,Kota
A To Z Restaurant,"North Indian, Fast Food, Biryani",100,3.3,Palakkad
A To Z Rolls,"North Indian, Fast Food, Biryani",250,3.3,Kota
A Vinis Bakery,Bakery,250,3.6,Indore
A J Cool Bar,Fast Food,300,3.6,Tirunelveli
A M Biriyani,Biryani,150,4.1,Trichy
A P S Chat,Street Food,150,3.8,Chennai
A R Modern Rythu Chicken Bazar,"North Indian, Biryani",50,4.1,Warangal
A R Biryani Point,Biryani,300,4.4,Guntur
A R C Sasi s Chat More,"North Indian, Fast Food, Biryani",150,3.6,Coimbatore
A S I N Kitchen,Fast Food,100,4.3,Goa
A Ambur Briyani Kababs,Biryani,200,3.8,Chennai
A Amlet,"North Indian, Street Food",250,4.3,Rajkot
A Biryani,Biryani,100,3.7,Coimbatore
A Bombay Vada Pav,"Fast Food, Street Food",200,3.6,Surat
A Chicken Pakoda Point,"North Indian, Biryani",250,4.3,Hyderabad
A Chilli Fast Food Center,"Fast Food, Biryani",150,4.2,Coimbatore
A Chips,Street Food,200,4.2,Chennai
A Desserts,Bakery,100,3.5,Warangal
A Family Restaurant,"South Indian, North Indian, Biryani",450,4.0,Nellore
A Fast Food,Fast Food,100,3.7,Bareilly
A Foods,North Indian,250,4.0,Amritsar
A Foods Cake Factory,Bakery,150,4.3,Warangal
A Haji Biryani,Biryani,100,3.8,Siliguri
A Haji Fast Food Centre,"North Indian, Fast Food, Biryani",100,3.9,Kolkata
A Hotels,"South Indian, North Indian",200,3.8,Trichy
A Misal House,Fast Food,300,3.9,Jalgaon
A Momos,Indian,150,3.9,Madurai
A Momo s,Indian,200,4.0,Madurai
A Pakoda House,"Fast Food, Biryani",100,4.1,Hyderabad
A Parotha,North Indian,150,4.4,Ahmedabad
A Parotta Stall,"South Indian, Fast Food",150,4.0,Tirunelveli
A Pulkha Point And Chinese,North Indian,200,2.9,Vijayawada
A Quality Falooda,Indian,150,3.6,Vijayawada
A Samosa,Street Food,300,4.4,Mumbai
A Super Dabeli And Panipuri Centre,Street Food,100,4.1,Jalgaon
A Fast Food,North Indian,250,3.9,Hyderabad
AB Adyar Ananda Bhavan,"South Indian, North Indian, Street Food",100,4.0,Nellore
AB Adyar Ananda Bhavan,"South Indian, Fast Food, Street Food",150,4.1,Trichy
AB Adyar Ananda Bhavan,"South Indian, North Indian, Fast Food, Street Food",100,4.2,Chennai
AB Adyar Ananda Bhavan,"South Indian, North Indian, Fast Food",200,4.2,Puducherry
AB Adyar Ananda Bhavan,"South Indian, North Indian, Street Food, Biryani",300,4.2,Bangalore
AB Adyar Ananda Bhavan,"South Indian, North Indian, Fast Food, Street Food",100,4.3,Coimbatore
AB Adyar Ananda Bhavan,South Indian,150,4.3,Madurai
AB Adyar Ananda Bhavan,"South Indian, North Indian, Fast Food",150,4.3,Chennai
AB Aniram s Aahar Bhavan,"South Indian, North Indian",100,4.0,Jamshedpur
A Eggless Fresh Cakes,Bakery,100,4.3,Kanpur
A Baker s Cafe,Fast Food,300,4.0,Meerut
A Kitchen s,"South Indian, North Indian, Fast Food, Biryani",450,3.5,Raipur
Aab O Dana Red Chillies,North Indian,150,3.9,Bareilly
Aachi Chettinadu Hotel,South Indian,150,3.9,Madurai
Aachman,"North Indian, Fast Food",250,4.2,Lucknow
Aacho Bhau,"Fast Food, Street Food",50,3.1,Indore
Aadab Biryani,"North Indian, Biryani",150,4.0,Goa
Aadat Chai Cafe,"Fast Food, Street Food",150,4.1,NCR
Aadi Bangali,Indian,100,4.2,Kolkata
Aadis Eat Greet,"North Indian, Fast Food",100,4.0,Patiala
Aadi s Kitchen,"South Indian, Street Food",150,3.6,Belgaum
Aagaaram,"North Indian, Biryani",150,3.6,Coimbatore
Aagaaram Cafe,"South Indian, North Indian, Fast Food, Street Food, Biryani",150,4.1,Coimbatore
Aah Haa Pizza,Indian,100,2.9,Dhanbad
Aaha Family Restaurant,Biryani,150,2.9,Vijayawada
Aahaar Fast Food Court Restaurant,"South Indian, North Indian, Fast Food",150,3.8,Varanasi
ahaar Multi Cuisine Restaurant,South Indian,150,3.0,Vijayawada
Aahar,"North Indian, Fast Food",100,3.9,Lucknow
Aahar,North Indian,50,4.1,Kota
Aahar,"South Indian, North Indian, Bakery",150,4.2,Agra
Aahar Bhojnalaya,"North Indian, Fast Food",100,3.4,Patna
Aahar Punjabi Dhaba,North Indian,150,3.5,Vellore
Aahar Restaurant,"North Indian, Biryani",150,4.1,Kolkata
Aahar Restaurant,"South Indian, Street Food",150,4.2,Nagpur
Aahar Restaurant Unit of Lokenath Caterer,"North Indian, Biryani",200,4.0,Durgapur
Aahar Snacks Parlour,"South Indian, Fast Food, Street Food",150,3.6,Surat
Aahar The Rail Coach Restaurant,"South Indian, North Indian, Fast Food, Street Food",200,3.8,Amravati
Aahar Veg Family Restaurant,"South Indian, North Indian",300,3.8,Jamshedpur
Aahar Vihar,"North Indian, Biryani",100,4.2,Allahabad
Aahare Kolkata,North Indian,200,4.2,Mumbai
Aaheli The Peerless Inn,Indian,250,4.0,Kolkata
Aaheli Express The Peerless Inn,Bakery,100,4.1,Durgapur
Aaheli Fresh Foods,"Fast Food, Street Food, Biryani",150,4.0,Siliguri
Aai Chinese,Indian,100,3.8,Jalgaon
Aai Chya Hatache,Indian,150,3.9,Nashik
Aaicha Swayampak Maharashtrian Restaurant,North Indian,100,4.0,Nagpur
Aaichi Athvan Parcel Point,Indian,300,3.6,Nashik
Aaichi Shidori,North Indian,150,4.1,Nagpur
Aaiye Jnaab Khaiye,"North Indian, Fast Food",100,3.8,Haridwar
Aakash Hotel,North Indian,100,3.6,Siliguri
Aakash Sweets Namkeen Fastfood,Indian,50,4.0,Rajkot
Aala Biryani,"North Indian, Biryani",100,3.8,Kolkata
Aali Re Thali,North Indian,100,4.2,Lucknow
Aalishan Pan and Parlour,Street Food,100,4.1,Bhavnagar
Aalishan Restaurant,"North Indian, Biryani",300,3.9,Kolkata
Aama Ko Kitchen,Fast Food,10,3.6,NCR
Aamantran Fast Food,"Fast Food, Street Food",150,4.2,Ahmedabad
Aamantran Pure Veg,North Indian,200,4.2,Hyderabad
Aamantran Restaurant,"South Indian, North Indian, Street Food",200,4.2,Indore
Aamar Bangla Restaurant,Indian,100,3.8,Kolkata
Aamchi Mumbai,"Fast Food, Street Food",250,4.3,Indore
Aamhi Marathi,Biryani,150,3.8,Vadodara
Aamhi Pohekar,Street Food,150,4.6,Pune
Aami Bangali,"North Indian, Biryani",150,3.6,Kolkata
Aami Bangali,Indian,100,3.8,Jamshedpur
Aami Bangali Restaurant,Indian,150,3.9,Ranchi
Aami Bangali Restaurant,North Indian,200,4.4,Asansol
Aaminia Biryani,"North Indian, Biryani",100,3.2,Siliguri
Aamio Petuk,Indian,150,4.0,Ranchi
Aamis,"North Indian, Street Food",250,3.1,Guwahati
Aamrapali Sweets And Fast Food,"South Indian, North Indian, Fast Food, Street Food",200,4.2,Lucknow
Aanand Sweets,Bakery,100,4.0,Saharanpur
Aananda Multi Cuisine Pure Veg Restaurant,"North Indian, Biryani",100,3.9,Warangal
Aangan,"South Indian, North Indian",200,3.3,Meerut
Aangan,South Indian,100,4.0,Lucknow
Aangan Cafe,"North Indian, Fast Food, Street Food",150,4.0,Jalandhar
Aangan Restaurant Bar,"North Indian, Fast Food",150,4.3,Dehradun
Aao G Khao G,North Indian,300,3.6,Bhubaneswar
Aao Ji Haryana Dhaba,"South Indian, North Indian",200,4.3,Allahabad
Aao Sa Pavitra Bhojnalaya,North Indian,100,3.9,Jaipur
Aaojee Khaojee,North Indian,150,3.6,Raipur
Aap Ki Chai,Street Food,150,3.8,Kolkata
Aap Ki Khaatir,North Indian,200,3.9,Aligarh
Aapka Apna Pizza,Fast Food,100,3.8,Bareilly
Aapka Apna Restaurant,North Indian,150,4.0,Indore
Aapki Apni Rasoi,"South Indian, North Indian, Fast Food, Street Food",350,3.8,Ludhiana
Aapki Rasoi,North Indian,250,4.1,Indore
Aapno Pizza,Fast Food,150,3.5,Dehradun
Aapno Rajasthan,North Indian,200,4.3,Kolkata
Aar Kay Vaishno Dhaba,North Indian,200,4.4,Jalandhar
Aaradhana Restaurant,"South Indian, North Indian, Fast Food",100,3.2,Ujjain
Aaradhya Dhaba,"North Indian, Fast Food",100,3.1,Chandigarh
Aaradhya Sweets,Street Food,150,3.6,Nashik
Aarian Atithya,"North Indian, Fast Food",150,3.8,Guwahati
Aarna s Restaurant,"North Indian, Fast Food",150,3.9,Kanpur
Aarnav Pure Veg Family Restaurant,"North Indian, Street Food",200,3.7,Nashik
Aarohi Food,"North Indian, Biryani",150,2.8,Nagpur
Aarti Bhojanalya,North Indian,150,3.7,Indore
Aaru Food Junction,Indian,100,4.0,Jabalpur
Aarush Kitchen s,Indian,100,3.6,Moradabad
Aarvam Regale Cafe,"South Indian, North Indian",350,4.3,Varanasi
Aarya s Kitchen,North Indian,200,3.4,Amravati
Aarya s Spicy Food,North Indian,100,4.3,Gorakhpur
Aashapura Dabeli,Street Food,100,4.5,Rajkot
Aashirwaad Veg Family Restaurant,North Indian,100,4.1,Bareilly
Aashirwad Kitchen,"North Indian, Fast Food, Biryani",100,3.9,Lucknow
Aashirwad Restaurant,North Indian,300,3.9,Delhi NCR
Aashirwad Restaurant,"South Indian, North Indian, Fast Food",250,4.1,Guwahati
Aashirwad Restaurant Dining Hall,North Indian,150,3.5,Udaipur
Aasife Brothers Biryani Center,"South Indian, North Indian, Biryani",150,4.0,Coimbatore
Aasife Biriyani,"South Indian, North Indian, Biryani",100,3.7,Tirunelveli
Aasife Biriyani,"South Indian, North Indian, Biryani",150,4.0,Coimbatore
