flight_id,source,destination,airline,departure time,arrival_time,price,duration,duration_minutes
68,Mumbai,Hyderabad,Air India,13:55,15:25,3625,1h 30m,90
69,Delhi,Cochin,Air India,05:55,19:15,10861,13h 20m,800
70,Chennai,Kolkata,IndiGo,13:20,15:35,6297,2h 15m,135
71,Mumbai,Hyderabad,Jet Airways,07:05,08:30,5678,1h 25m,85
72,Banglore,New Delhi,Jet Airways,05:45,08:15 13 Mar,9134,26h 30m,1590
73,Delhi,Cochin,Multiple carriers,11:40,19:00,10791,7h 20m,440
74,Delhi,Cochin,Jet Airways,23:05,12:35 25 Jun,12819,13h 30m,810
75,Delhi,Cochin,IndiGo,05:05,10:05,6893,5h,300
76,Banglore,New Delhi,Vistara,09:50,12:35,7240,2h 45m,165
77,Banglore,Delhi,GoAir,11:40,14:30,3898,2h 50m,170
78,Mumbai,Hyderabad,IndiGo,06:25,07:55,4049,1h 30m,90
79,Delhi,Cochin,Jet Airways,17:30,12:35 16 Jun,10262,19h 5m,1145
80,Chennai,Kolkata,SpiceJet,08:20,10:35,3332,2h 15m,135
81,Kolkata,Banglore,Jet Airways,21:10,12:00 10 Jun,10844,14h 50m,890
82,Banglore,New Delhi,Jet Airways,19:55,22:35,7229,2h 40m,160
83,Kolkata,Banglore,Jet Airways,06:30,04:40 07 May,13941,22h 10m,1330
84,Delhi,Cochin,IndiGo,11:25,21:00,5894,9h 35m,575
85,Delhi,Cochin,Multiple carriers,09:00,19:00,10197,10h,600
86,Banglore,New Delhi,Jet Airways,14:05,11:25 07 Mar,13712,21h 20m,1280
87,Delhi,Cochin,IndiGo,02:00,07:25,5636,5h 25m,325
88,Delhi,Cochin,Jet Airways,09:40,04:25 07 Jun,13014,18h 45m,1125
89,Kolkata,Banglore,Jet Airways,08:25,20:45,7064,12h 20m,740
90,Kolkata,Banglore,Jet Airways,20:25,14:25 25 May,10703,18h,1080
91,Delhi,Cochin,Multiple carriers,13:15,22:30,9646,9h 15m,555
92,Delhi,Cochin,Multiple carriers,02:15,13:20,17057,11h 5m,665
93,Banglore,New Delhi,Jet Airways,16:55,10:25 13 Mar,13817,17h 30m,1050
94,Delhi,Cochin,Air India,05:55,19:15,13748,13h 20m,800
95,Kolkata,Banglore,Air India,20:45,23:20,4880,2h 35m,155
96,Chennai,Kolkata,IndiGo,05:15,07:40,3540,2h 25m,145
97,Banglore,Delhi,SpiceJet,05:55,08:35,3257,2h 40m,160
98,Banglore,Delhi,Jet Airways,19:50,22:50,6478,3h,180
99,Mumbai,Hyderabad,Jet Airways,07:05,08:30,8040,1h 25m,85
100,Delhi,Cochin,Jet Airways,20:00,12:35 13 Jun,14300,16h 35m,995
101,Kolkata,Banglore,Jet Airways,08:25,20:45,14781,12h 20m,740
102,Kolkata,Banglore,Jet Airways,20:00,08:15 10 Jun,14939,12h 15m,735
103,Delhi,Cochin,Jet Airways,20:55,04:25 25 Jun,10262,7h 30m,450
104,Kolkata,Banglore,Air India,14:35,14:35 13 May,6528,24h,1440
105,Banglore,Delhi,Air India,06:10,08:55,6121,2h 45m,165
106,Delhi,Cochin,Jet Airways,19:30,04:25 19 May,13029,8h 55m,535
107,Delhi,Cochin,Multiple carriers,11:40,18:50,11421,7h 10m,430
108,Delhi,Cochin,Multiple carriers,04:45,19:15,7574,14h 30m,870
109,Delhi,Cochin,Air India,12:55,19:15 10 May,11596,30h 20m,1820
110,Delhi,Cochin,Jet Airways,23:05,19:00 25 May,15129,19h 55m,1195
111,Banglore,New Delhi,Jet Airways,14:05,05:05 16 Mar,13555,15h,900
112,Banglore,Delhi,IndiGo,18:55,21:50,5780,2h 55m,175
113,Kolkata,Banglore,Vistara,20:20,09:05 13 May,9397,12h 45m,765
114,Delhi,Cochin,Jet Airways,18:15,04:25 07 Mar,17024,10h 10m,610
115,Delhi,Cochin,GoAir,07:00,12:55,5281,5h 55m,355
116,Delhi,Cochin,Multiple carriers,07:05,22:30,10348,15h 25m,925
117,Delhi,Cochin,Air India,17:20,09:25 07 Mar,12677,16h 5m,965
118,Delhi,Cochin,Multiple carriers,15:25,01:35 04 Mar,15147,10h 10m,610
119,Banglore,Delhi,Vistara,07:00,09:40,4668,2h 40m,160
120,Delhi,Cochin,Jet Airways,07:05,19:00,15554,11h 55m,715
121,Banglore,Delhi,SpiceJet,05:55,08:35,3971,2h 40m,160
122,Mumbai,Hyderabad,Air India,15:00,16:25,3100,1h 25m,85
123,Kolkata,Banglore,Jet Airways,20:00,10:05 07 May,9663,14h 5m,845
124,Delhi,Cochin,Air India,23:00,19:15 02 Mar,27430,20h 15m,1215
125,Chennai,Kolkata,IndiGo,05:15,07:40,3540,2h 25m,145
126,Kolkata,Banglore,Air India,12:00,11:10 22 May,10676,23h 10m,1390
127,Kolkata,Banglore,Jet Airways,14:05,08:15 13 Jun,13044,18h 10m,1090
128,Kolkata,Banglore,Jet Airways,20:00,12:00 07 May,14388,16h,960
129,Banglore,Delhi,IndiGo,04:00,06:50,3943,2h 50m,170
130,Chennai,Kolkata,IndiGo,14:45,17:05,3597,2h 20m,140
131,Banglore,New Delhi,Air India,11:50,19:50,5932,8h,480
132,Delhi,Cochin,Jet Airways,11:30,04:25 16 Jun,10262,16h 55m,1015
133,Delhi,Cochin,Vistara,14:40,17:50,6216,3h 10m,190
134,Kolkata,Banglore,IndiGo,20:25,23:10,4804,2h 45m,165
135,Delhi,Cochin,Multiple carriers,11:30,01:30 22 May,14067,14h,840
136,Delhi,Cochin,Jet Airways,19:10,19:00 19 May,15129,23h 50m,1430
137,Delhi,Cochin,Jet Airways,06:45,04:25 07 Jun,13376,21h 40m,1300
138,Delhi,Cochin,Air India,22:00,19:15 28 Jun,10441,21h 15m,1275
139,Banglore,Delhi,Jet Airways,06:00,08:45,4030,2h 45m,165
140,Delhi,Cochin,Jet Airways,08:00,18:50,17024,10h 50m,650
141,Delhi,Cochin,Multiple carriers,17:30,01:30 10 Apr,13017,8h,480
142,Kolkata,Banglore,GoAir,23:30,07:45 07 Jun,6686,8h 15m,495
143,Delhi,Cochin,IndiGo,02:00,07:25,5636,5h 25m,325
144,Delhi,Cochin,IndiGo,07:35,16:10,6442,8h 35m,515
145,Delhi,Cochin,Multiple carriers,13:05,00:55 22 May,9486,11h 50m,710
146,Kolkata,Banglore,Jet Airways,20:00,23:35 22 May,10844,27h 35m,1655
147,Delhi,Cochin,Jet Airways,20:00,04:25 04 Jun,15318,8h 25m,505
148,Delhi,Cochin,Air India,12:30,09:25 04 Apr,5117,20h 55m,1255
149,Delhi,Cochin,IndiGo,15:10,20:00,6147,4h 50m,290
150,Delhi,Cochin,Multiple carriers,12:50,21:00,7005,8h 10m,490
151,Kolkata,Banglore,SpiceJet,22:20,00:40 04 Apr,3873,2h 20m,140
152,Delhi,Cochin,Jet Airways,18:25,18:50 22 Mar,9270,24h 25m,1465
153,Banglore,Delhi,GoAir,11:40,14:30,3898,2h 50m,170
154,Kolkata,Banglore,Jet Airways,08:25,20:45,14781,12h 20m,740
155,Kolkata,Banglore,Jet Airways,20:00,08:15 25 May,8586,12h 15m,735
156,Kolkata,Banglore,Air India,08:20,07:55 10 May,10697,23h 35m,1415
157,Delhi,Cochin,Jet Airways,20:00,12:35 28 Jun,14300,16h 35m,995
158,Banglore,New Delhi,IndiGo,18:55,21:45,8855,2h 50m,170
159,Kolkata,Banglore,Jet Airways,16:30,18:15 13 May,10844,25h 45m,1545
160,Delhi,Cochin,Jet Airways,02:15,04:25 07 Mar,17024,26h 10m,1570
161,Kolkata,Banglore,Jet Airways,09:35,14:25 02 May,9314,28h 50m,1730
162,Banglore,New Delhi,IndiGo,00:40,03:25,4777,2h 45m,165
163,Kolkata,Banglore,Air India,12:00,13:15 10 Jun,7662,25h 15m,1515
164,Delhi,Cochin,IndiGo,06:50,16:10,6442,9h 20m,560
165,Delhi,Cochin,SpiceJet,08:45,13:15,5264,4h 30m,270
166,Delhi,Cochin,Jet Airways,13:00,04:25 28 May,12898,15h 25m,925
167,Mumbai,Hyderabad,Air India,13:55,15:25,6092,1h 30m,90
168,Banglore,Delhi,SpiceJet,05:55,08:35,3311,2h 40m,160
169,Delhi,Cochin,Jet Airways,19:15,04:25 28 Mar,6540,9h 10m,550
170,Banglore,Delhi,IndiGo,01:30,04:15,3419,2h 45m,165
171,Delhi,Cochin,Jet Airways,14:00,12:35 04 Apr,5177,22h 35m,1355
172,Delhi,Cochin,Air India,18:05,21:10,8246,3h 5m,185
173,Kolkata,Banglore,Jet Airways,09:35,21:05,14676,11h 30m,690
174,Delhi,Cochin,Multiple carriers,11:30,21:00,13587,9h 30m,570
175,Kolkata,Banglore,Jet Airways,21:10,09:20 07 May,9663,12h 10m,730
176,Kolkata,Banglore,Jet Airways,16:30,10:05 13 Jun,13044,17h 35m,1055
177,Delhi,Cochin,IndiGo,20:25,01:30 04 Apr,5073,5h 5m,305
178,Kolkata,Banglore,Vistara,17:00,18:50 22 May,9345,25h 50m,1550
179,Kolkata,Banglore,Jet Airways,14:05,10:05 07 May,9663,20h,1200
180,Delhi,Cochin,Multiple carriers,08:00,21:00,14277,13h,780
181,Delhi,Cochin,Jet Airways,10:00,04:25 02 Jun,10262,18h 25m,1105
182,Mumbai,Hyderabad,Jet Airways,19:35,21:05,5678,1h 30m,90
183,Delhi,Cochin,Multiple carriers,16:00,01:30 16 May,13727,9h 30m,570
184,Kolkata,Banglore,Jet Airways,20:00,12:00 07 May,9663,16h,960
185,Chennai,Kolkata,IndiGo,14:45,17:05,3858,2h 20m,140
186,Delhi,Cochin,SpiceJet,08:45,13:15,4812,4h 30m,270
187,Delhi,Cochin,IndiGo,21:50,03:35 28 Jun,5775,5h 45m,345
188,Kolkata,Banglore,Jet Airways,09:35,09:45 07 Jun,10539,24h 10m,1450
189,Kolkata,Banglore,IndiGo,15:30,18:05,4804,2h 35m,155
190,Banglore,Delhi,Air Asia,11:10,13:55,3383,2h 45m,165
191,Banglore,New Delhi,IndiGo,12:10,17:05,8738,4h 55m,295
192,Delhi,Cochin,Air India,05:15,06:50 28 Mar,7165,25h 35m,1535
193,Delhi,Cochin,IndiGo,16:10,22:30,6412,6h 20m,380
194,Banglore,Delhi,Jet Airways,18:55,22:00,8016,3h 5m,185
195,Banglore,New Delhi,Jet Airways,20:35,15:15 13 Mar,11087,18h 40m,1120
196,Chennai,Kolkata,SpiceJet,09:45,12:00,3543,2h 15m,135
197,Kolkata,Banglore,Jet Airways,16:30,04:40 13 Jun,12471,12h 10m,730
198,Delhi,Cochin,Jet Airways,09:00,04:25 25 Jun,10262,19h 25m,1165
199,Banglore,New Delhi,Air India,13:20,16:10,4441,2h 50m,170
200,Delhi,Cochin,Multiple carriers,07:05,15:30,12537,8h 25m,505
201,Kolkata,Banglore,GoAir,22:25,07:40 25 Mar,10091,9h 15m,555
202,Banglore,Delhi,Air India,21:05,23:55,6961,2h 50m,170
203,Delhi,Cochin,IndiGo,05:35,08:50,5013,3h 15m,195
204,Delhi,Cochin,Air India,05:10,08:00,6934,2h 50m,170
205,Delhi,Cochin,Multiple carriers,06:40,19:00,10877,12h 20m,740
206,Banglore,Delhi,Jet Airways,15:15,18:10,7229,2h 55m,175
207,Delhi,Cochin,IndiGo,16:00,01:35 28 Mar,7048,9h 35m,575
208,Banglore,Delhi,Vistara,17:00,19:35,4878,2h 35m,155
209,Kolkata,Banglore,Jet Airways,14:05,23:35,10844,9h 30m,570
210,Delhi,Cochin,Jet Airways,23:05,04:25 20 May,15129,29h 20m,1760
211,Banglore,Delhi,IndiGo,00:30,03:25,3943,2h 55m,175
212,Delhi,Cochin,SpiceJet,06:05,11:20,5583,5h 15m,315
213,Delhi,Cochin,Multiple carriers,07:05,16:10,9646,9h 5m,545
214,Delhi,Cochin,Multiple carriers,08:30,19:15,7677,10h 45m,645
215,Delhi,Cochin,IndiGo,05:10,10:05,6842,4h 55m,295
216,Mumbai,Hyderabad,Jet Airways,08:45,10:15,4995,1h 30m,90
217,Kolkata,Banglore,Vistara,07:10,18:50,9555,11h 40m,700
218,Banglore,Delhi,IndiGo,01:30,04:15,4077,2h 45m,165
219,Banglore,Delhi,Jet Airways,15:15,18:10,7229,2h 55m,175
220,Delhi,Cochin,Multiple carriers,09:00,19:00,12192,10h,600
221,Banglore,Delhi,Air India,10:00,12:45,5911,2h 45m,165
222,Delhi,Cochin,Air India,09:00,19:15,8372,10h 15m,615
223,Mumbai,Hyderabad,Jet Airways,07:10,08:35,4995,1h 25m,85
224,Delhi,Cochin,Multiple carriers,10:00,19:15,14323,9h 15m,555
225,Delhi,Cochin,Jet Airways,05:30,04:25 10 Jun,13014,22h 55m,1375
226,Delhi,Cochin,Air India,14:25,19:15 07 Jun,13591,28h 50m,1730
227,Delhi,Cochin,Jet Airways,05:25,18:50 04 Mar,18799,37h 25m,2245
228,Banglore,Delhi,IndiGo,23:30,02:20 28 Apr,3943,2h 50m,170
229,Mumbai,Hyderabad,SpiceJet,05:45,07:15,1965,1h 30m,90
230,Mumbai,Hyderabad,Jet Airways,10:20,11:50,4995,1h 30m,90
231,Kolkata,Banglore,Air India,16:50,18:30 25 Mar,14641,25h 40m,1540
232,Kolkata,Banglore,Air India,20:45,23:20,4460,2h 35m,155
233,Delhi,Cochin,Air India,13:00,19:15,10191,6h 15m,375
234,Delhi,Cochin,Jet Airways,02:15,19:45,13843,17h 30m,1050
235,Delhi,Cochin,IndiGo,21:50,03:35 02 May,6349,5h 45m,345
236,Kolkata,Banglore,Air Asia,10:20,12:55,4409,2h 35m,155
237,Delhi,Cochin,Jet Airways,18:15,19:45 07 Mar,17024,25h 30m,1530
238,Delhi,Cochin,Multiple carriers,07:05,21:00,13727,13h 55m,835
239,Banglore,New Delhi,IndiGo,18:25,21:20,8855,2h 55m,175
240,Delhi,Cochin,Multiple carriers,08:45,19:00,12524,10h 15m,615
241,Banglore,New Delhi,Jet Airways,11:40,20:20,13555,8h 40m,520
242,Kolkata,Banglore,Jet Airways,06:30,12:00,10844,5h 30m,330
243,Delhi,Cochin,Multiple carriers,09:00,21:00,13587,12h,720
244,Chennai,Kolkata,SpiceJet,09:45,12:00,3543,2h 15m,135
245,Chennai,Kolkata,Vistara,07:05,09:20,4842,2h 15m,135
246,Banglore,Delhi,IndiGo,23:30,02:20 25 Apr,3943,2h 50m,170
247,Delhi,Cochin,Jet Airways,19:15,04:25 10 Jun,10577,9h 10m,550
248,Delhi,Cochin,IndiGo,10:35,21:00,6979,10h 25m,625
249,Chennai,Kolkata,Vistara,17:45,20:05,11982,2h 20m,140
250,Delhi,Cochin,SpiceJet,08:45,13:15,5264,4h 30m,270
251,Delhi,Cochin,Vistara,06:00,09:10,8001,3h 10m,190
252,Delhi,Cochin,Air India,19:45,19:15 02 Jun,10651,23h 30m,1410
253,Kolkata,Banglore,Jet Airways,16:30,19:50 25 May,10844,27h 20m,1640
254,Delhi,Cochin,Multiple carriers,09:45,22:20,6601,12h 35m,755
255,Delhi,Cochin,Air India,19:00,19:15 22 Mar,6587,24h 15m,1455
256,Mumbai,Hyderabad,SpiceJet,13:10,14:30,3173,1h 20m,80
257,Banglore,Delhi,Air India,10:00,12:45,5228,2h 45m,165
258,Banglore,Delhi,Jet Airways,07:10,10:10,5769,3h,180
259,Delhi,Cochin,Jet Airways,08:00,19:00,14714,11h,660
260,Delhi,Cochin,Jet Airways,05:30,19:00,13014,13h 30m,810
261,Banglore,Delhi,IndiGo,22:10,01:00 04 Jun,3359,2h 50m,170
262,Banglore,New Delhi,GoAir,20:55,23:50,6722,2h 55m,175
263,Kolkata,Banglore,IndiGo,09:35,12:20,4462,2h 45m,165
264,Delhi,Cochin,IndiGo,04:55,16:10,6171,11h 15m,675
265,Kolkata,Banglore,Air India,05:50,20:25,12303,14h 35m,875
266,Delhi,Cochin,Multiple carriers,11:40,01:35 22 Mar,7695,13h 55m,835
267,Delhi,Cochin,IndiGo,11:25,01:30 25 Jun,5684,14h 5m,845
268,Kolkata,Banglore,Air India,16:50,07:55 13 Jun,8366,15h 5m,905
269,Chennai,Kolkata,Air India,11:40,13:55,19630,2h 15m,135
270,Banglore,New Delhi,Jet Airways,14:05,05:05 07 Mar,13502,15h,900
271,Kolkata,Banglore,Jet Airways,21:10,10:05 02 May,14781,12h 55m,775
272,Delhi,Cochin,Multiple carriers,07:10,16:10,6513,9h,540
273,Delhi,Cochin,Air India,07:00,19:15,9929,12h 15m,735
274,Delhi,Cochin,Multiple carriers,17:50,01:30 07 Jun,18275,7h 40m,460
275,Delhi,Cochin,Air India,06:05,09:25 10 Apr,4487,27h 20m,1640
276,Mumbai,Hyderabad,IndiGo,21:20,22:45,2754,1h 25m,85
277,Mumbai,Hyderabad,Air India,06:20,07:40,2575,1h 20m,80
278,Kolkata,Banglore,SpiceJet,15:55,21:25,8224,5h 30m,330
279,Delhi,Cochin,Air India,20:30,08:15 10 Mar,8991,11h 45m,705
280,Delhi,Cochin,IndiGo,05:35,08:50,5000,3h 15m,195
281,Kolkata,Banglore,Jet Airways,18:55,19:50 13 Jun,8529,24h 55m,1495
282,Delhi,Cochin,Air India,06:05,09:25 04 Mar,14042,27h 20m,1640
283,Banglore,Delhi,Jet Airways,11:10,14:05,4030,2h 55m,175
284,Kolkata,Banglore,Jet Airways,18:55,12:00 07 Jun,10844,17h 5m,1025
285,Kolkata,Banglore,IndiGo,21:25,00:05 07 May,4804,2h 40m,160
286,Delhi,Cochin,Multiple carriers,17:30,01:30 28 May,7308,8h,480
287,Banglore,Delhi,IndiGo,16:55,19:55,4823,3h,180
288,Delhi,Cochin,Jet Airways,09:00,12:35 25 Jun,10262,27h 35m,1655
289,Delhi,Cochin,Jet Airways,20:55,04:25 28 May,12898,7h 30m,450
290,Banglore,New Delhi,Air India,17:25,16:20 13 Mar,12778,22h 55m,1375
291,Delhi,Cochin,IndiGo,04:45,13:20,14871,8h 35m,515
292,Delhi,Cochin,Air India,13:20,19:15 22 Mar,8708,29h 55m,1795
293,Kolkata,Banglore,Jet Airways,20:00,18:15 07 Jun,10844,22h 15m,1335
294,Mumbai,Hyderabad,SpiceJet,05:45,07:05,4129,1h 20m,80
295,Kolkata,Banglore,IndiGo,21:25,00:05 19 May,4804,2h 40m,160
296,Banglore,Delhi,Jet Airways,08:20,11:20,7229,3h,180
297,Banglore,New Delhi,Jet Airways,07:00,19:10,7832,12h 10m,730
298,Chennai,Kolkata,SpiceJet,09:30,12:05,3859,2h 35m,155
299,Delhi,Cochin,Multiple carriers,07:30,19:15,9001,11h 45m,705
300,Banglore,Delhi,Vistara,17:00,19:35,4878,2h 35m,155
301,Mumbai,Hyderabad,IndiGo,02:35,04:05,2754,1h 30m,90
302,Banglore,Delhi,Vistara,07:00,09:40,4668,2h 40m,160
303,Kolkata,Banglore,Air Asia,10:20,12:55,5216,2h 35m,155
304,Delhi,Cochin,Jet Airways,05:30,04:25 07 Jun,10368,22h 55m,1375
305,Delhi,Cochin,IndiGo,06:40,21:20,8146,14h 40m,880
306,Delhi,Cochin,Jet Airways,13:00,04:25 28 Mar,12242,15h 25m,925
307,Banglore,New Delhi,Jet Airways,08:00,15:15,9134,7h 15m,435
308,Delhi,Cochin,Air India,13:15,09:25 07 Jun,10939,20h 10m,1210
309,Delhi,Cochin,Air India,10:55,07:40 07 Jun,11753,20h 45m,1245
310,Kolkata,Banglore,SpiceJet,17:10,19:40,4174,2h 30m,150
311,Kolkata,Banglore,Jet Airways,20:00,19:50 22 May,10844,23h 50m,1430
312,Delhi,Cochin,Jet Airways,16:00,19:00 04 Jun,14714,27h,1620
313,Kolkata,Banglore,Jet Airways,06:30,12:00,9899,5h 30m,330
314,Delhi,Cochin,IndiGo,09:10,21:00,14871,11h 50m,710
315,Chennai,Kolkata,IndiGo,13:20,15:35,7295,2h 15m,135
316,Delhi,Cochin,Air India,18:45,19:15 07 Jun,13465,24h 30m,1470
317,Chennai,Kolkata,SpiceJet,17:45,20:05,3543,2h 20m,140
318,Delhi,Cochin,Multiple carriers,19:00,01:30 28 Jun,7198,6h 30m,390
319,Delhi,Cochin,Jet Airways,08:00,04:25 02 Jun,10262,20h 25m,1225
320,Kolkata,Banglore,IndiGo,15:20,17:55,4148,2h 35m,155
321,Banglore,Delhi,Jet Airways,15:15,18:10,8016,2h 55m,175
322,Delhi,Cochin,Jet Airways,22:50,04:25 10 Jun,10262,5h 35m,335
323,Kolkata,Banglore,SpiceJet,14:55,17:25,3841,2h 30m,150
324,Banglore,New Delhi,Jet Airways,09:45,00:30 13 Mar,11507,14h 45m,885
325,Kolkata,Banglore,Jet Airways,08:25,20:45,14781,12h 20m,740
326,Delhi,Cochin,Jet Airways,17:30,19:00 28 May,16079,25h 30m,1530
327,Delhi,Cochin,Jet Airways,22:50,04:25 28 May,12898,5h 35m,335
328,Delhi,Cochin,Multiple carriers,07:30,19:15,15353,11h 45m,705
329,Banglore,New Delhi,IndiGo,18:25,21:20,7303,2h 55m,175
330,Kolkata,Banglore,SpiceJet,15:05,20:45,6197,5h 40m,340
331,Kolkata,Banglore,Air India,09:10,13:15,8996,4h 5m,245
332,Delhi,Cochin,IndiGo,14:20,22:20,6528,8h,480
333,Banglore,Delhi,GoAir,20:55,23:40,4239,2h 45m,165
334,Kolkata,Banglore,IndiGo,20:25,23:05,4148,2h 40m,160
335,Banglore,Delhi,SpiceJet,21:10,00:05 25 May,3971,2h 55m,175
336,Kolkata,Banglore,Air Asia,07:35,23:30,5192,15h 55m,955
337,Delhi,Cochin,Jet Airways,13:25,12:35 10 Apr,9483,23h 10m,1390
338,Delhi,Cochin,Jet Airways,11:40,19:00,18804,7h 20m,440
339,Delhi,Cochin,Air India,05:10,08:00,5201,2h 50m,170
340,Delhi,Cochin,Jet Airways,11:30,19:00,16079,7h 30m,450
341,Banglore,Delhi,Jet Airways,19:50,22:50,7229,3h,180
342,Delhi,Cochin,Multiple carriers,17:45,01:30 28 May,6795,7h 45m,465
343,Kolkata,Banglore,Jet Airways,09:35,10:55 10 May,10953,25h 20m,1520
344,Delhi,Cochin,Multiple carriers,15:05,01:30 25 Jun,15965,10h 25m,625
345,Delhi,Cochin,Air India,12:55,19:15 10 Apr,9968,30h 20m,1820
346,Kolkata,Banglore,IndiGo,22:15,00:50 07 Jun,4804,2h 35m,155
347,Delhi,Cochin,Jet Airways,10:00,19:00,16079,9h,540
348,Delhi,Cochin,Jet Airways,21:25,12:35 13 Jun,11507,15h 10m,910
